timestamp_utc,value,classification,btc_price_usd,eth_price_usd
2026-08-31 19:10 UTC,62,Greed,79136,2484.35
2026-08-31 19:13 UTC,62,Greed,79182,2486.63
2026-08-31 20:05 UTC,62,Greed,78926,2481.64
2026-08-31 20:13 UTC,62,Greed,78925,2478.15
2026-08-31 21:05 UTC,62,Greed,78798,2469.56
2026-08-31 21:13 UTC,62,Greed,78816,2472.47
2026-08-31 22:05 UTC,62,Greed,78937,2476.4
2026-08-31 22:13 UTC,62,Greed,78935,2476.61
2026-08-31 23:05 UTC,62,Greed,78409,2463.36
2026-08-31 23:13 UTC,62,Greed,78454,2464.7
2026-09-01 00:05 UTC,69,Greed,78592,2465.71
2026-09-01 00:31 UTC,69,Greed,78858,2474.46
2026-09-01 01:05 UTC,69,Greed,78641,2469.8
2026-09-01 01:18 UTC,69,Greed,78502,2466.16
2026-09-01 02:05 UTC,69,Greed,78289,2458.02
2026-09-01 02:20 UTC,69,Greed,78199,2455.42
2026-09-01 03:05 UTC,69,Greed,78415,2464.04
2026-09-01 03:21 UTC,69,Greed,78458,2466.1
2026-09-01 04:05 UTC,69,Greed,78683,2471.74
2026-09-01 04:20 UTC,69,Greed,78708,2474.34
2026-09-01 05:20 UTC,69,Greed,78848,2472.25
2026-09-01 06:05 UTC,69,Greed,79070,2482.0
2026-09-01 06:26 UTC,69,Greed,78840,2473.85
2026-09-01 07:05 UTC,69,Greed,78727,2471.85
2026-09-01 07:20 UTC,69,Greed,78719,2473.05
2026-09-01 08:05 UTC,69,Greed,78566,2471.75
2026-09-01 08:23 UTC,69,Greed,78229,2461.97
2026-09-01 09:05 UTC,69,Greed,77797,2445.23
2026-09-01 09:21 UTC,69,Greed,77837,2444.2
2026-09-01 10:05 UTC,69,Greed,77926,2452.61
2026-09-01 10:24 UTC,69,Greed,77943,2453.74
2026-09-01 11:05 UTC,69,Greed,78011,2455.5
2026-09-01 11:20 UTC,69,Greed,77987,2454.69
2026-09-01 12:05 UTC,69,Greed,77992,2456.0
2026-09-01 12:26 UTC,69,Greed,77950,2453.69
2026-09-01 13:05 UTC,69,Greed,77870,2441.77
2026-09-01 13:21 UTC,69,Greed,77794,2440.59
2026-09-01 14:05 UTC,69,Greed,78155,2446.8
